shared_sentence,Clean_shared_sentence,NLTK_tokens,nb_NLTK_tokens,Spacy_tokens,nb_Spacy_tokens,common_tokens,nb_common_tokens,NLTK_only_tokens,nb_NLTK_only_tokens,Spacy_only_tokens,nb_Spacy_only_tokens
"Values emerge from science, both as product and process and can be distributed among several cultures in the society..","values emerge from science, both as product and process and can be distributed among several cultures in the society..","{('distributed', 67, 'VERB'), ('as', 33, 'ADP'), (',', 26, '.'), ('product', 36, 'NOUN'), ('among', 79, 'ADP'), ('be', 64, 'VERB'), ('..', 116, 'NOUN'), ('from', 14, 'ADP'), ('and', 56, 'CONJ'), ('in', 102, 'ADP'), ('society', 109, 'NOUN'), ('process', 48, 'NOUN'), ('emerge', 7, 'VERB'), ('values', 0, 'NOUN'), ('can', 60, 'VERB'), ('science', 19, 'NOUN'), ('both', 28, 'CONJ'), ('and', 44, 'CONJ'), ('cultures', 93, 'NOUN'), ('several', 85, 'ADJ'), ('the', 105, 'DET')}",21,"{('distributed', 67, 'VERB'), ('as', 33, 'ADP'), ('..', 116, '.'), (',', 26, '.'), ('product', 36, 'NOUN'), ('among', 79, 'ADP'), ('be', 64, 'VERB'), ('from', 14, 'ADP'), ('and', 56, 'CONJ'), ('in', 102, 'ADP'), ('society', 109, 'NOUN'), ('process', 48, 'NOUN'), ('emerge', 7, 'VERB'), ('values', 0, 'NOUN'), ('can', 60, 'VERB'), ('science', 19, 'NOUN'), ('both', 28, 'CONJ'), ('and', 44, 'CONJ'), ('cultures', 93, 'NOUN'), ('several', 85, 'ADJ'), ('the', 105, 'DET')}",21,"{('emerge', 7), ('distributed', 67), ('several', 85), ('be', 64), ('product', 36), ('cultures', 93), ('..', 116), (',', 26), ('science', 19), ('among', 79), ('process', 48), ('from', 14), ('both', 28), ('in', 102), ('can', 60), ('and', 44), ('as', 33), ('and', 56), ('society', 109), ('values', 0), ('the', 105)}",21,set(),0,set(),0
The scientific enterprise is embedded in particular culture and values through individual practitioners..,the scientific enterprise is embedded in particular culture and values through individual practitioners..,"{('in', 38, 'ADP'), ('individual', 79, 'ADJ'), ('embedded', 29, 'VERB'), ('particular', 41, 'ADJ'), ('culture', 52, 'NOUN'), ('is', 26, 'VERB'), ('scientific', 4, 'ADJ'), ('..', 103, 'VERB'), ('and', 60, 'CONJ'), ('values', 64, 'NOUN'), ('through', 71, 'ADP'), ('the', 0, 'DET'), ('enterprise', 15, 'NOUN'), ('practitioners', 90, 'NOUN')}",14,"{('in', 38, 'ADP'), ('individual', 79, 'ADJ'), ('embedded', 29, 'VERB'), ('particular', 41, 'ADJ'), ('culture', 52, 'NOUN'), ('is', 26, 'VERB'), ('scientific', 4, 'ADJ'), ('..', 103, '.'), ('and', 60, 'CONJ'), ('values', 64, 'NOUN'), ('through', 71, 'ADP'), ('the', 0, 'DET'), ('enterprise', 15, 'NOUN'), ('practitioners', 90, 'NOUN')}",14,"{('scientific', 4), ('values', 64), ('individual', 79), ('in', 38), ('embedded', 29), ('is', 26), ('through', 71), ('the', 0), ('particular', 41), ('and', 60), ('culture', 52), ('practitioners', 90), ('..', 103), ('enterprise', 15)}",14,set(),0,set(),0
"This discipline overlaps with metaphysics, ontology, and epistemology, for example, when it explores the relationship between science and truth..","this discipline overlaps with metaphysics, ontology, and epistemology, for example, when it explores the relationship between science and truth..","{('truth', 138, 'NOUN'), ('it', 89, 'PRON'), ('science', 126, 'NOUN'), ('relationship', 105, 'NOUN'), ('..', 143, 'NOUN'), (',', 41, '.'), ('explores', 92, 'VERB'), ('this', 0, 'DET'), ('for', 71, 'ADP'), ('overlaps', 16, 'VERB'), ('between', 118, 'ADP'), ('metaphysics', 30, 'NOUN'), ('the', 101, 'DET'), (',', 69, '.'), ('epistemology', 57, 'NOUN'), ('ontology', 43, 'NOUN'), (',', 82, '.'), (',', 51, '.'), ('with', 25, 'ADP'), ('discipline', 5, 'NOUN'), ('and', 53, 'CONJ'), ('example', 75, 'NOUN'), ('and', 134, 'CONJ'), ('when', 84, 'ADV')}",24,"{('..', 143, '.'), ('truth', 138, 'NOUN'), ('it', 89, 'PRON'), ('science', 126, 'NOUN'), ('relationship', 105, 'NOUN'), ('when', 84, 'CONJ'), (',', 41, '.'), ('explores', 92, 'VERB'), ('this', 0, 'DET'), ('for', 71, 'ADP'), ('overlaps', 16, 'VERB'), ('between', 118, 'ADP'), ('metaphysics', 30, 'NOUN'), ('the', 101, 'DET'), (',', 69, '.'), ('epistemology', 57, 'NOUN'), ('ontology', 43, 'NOUN'), (',', 82, '.'), (',', 51, '.'), ('with', 25, 'ADP'), ('discipline', 5, 'NOUN'), ('and', 53, 'CONJ'), ('example', 75, 'NOUN'), ('and', 134, 'CONJ')}",24,"{('it', 89), (',', 51), ('metaphysics', 30), ('for', 71), (',', 69), ('relationship', 105), ('discipline', 5), ('explores', 92), ('and', 134), ('science', 126), ('this', 0), (',', 41), ('the', 101), ('..', 143), ('overlaps', 16), ('when', 84), ('between', 118), ('ontology', 43), ('with', 25), ('truth', 138), ('and', 53), ('epistemology', 57), (',', 82), ('example', 75)}",24,set(),0,set(),0
"Yet, although various measures of simplicity have been brought forward as potential candidates, it is generally accepted that there is no such thing as a theory-independent measure of simplicity..","yet, although various measures of simplicity have been brought forward as potential candidates, it is generally accepted that there is no such thing as a theory-independent measure of simplicity..","{('various', 14, 'ADJ'), ('..', 194, 'NOUN'), ('although', 5, 'ADP'), ('been', 50, 'VERB'), ('potential', 74, 'ADJ'), ('accepted', 112, 'VERB'), ('measures', 22, 'NOUN'), ('there', 126, 'DET'), ('is', 99, 'VERB'), ('is', 132, 'VERB'), ('theory', 154, 'NOUN'), ('candidates', 84, 'NOUN'), ('independent', 161, 'ADJ'), ('a', 152, 'DET'), ('as', 149, 'ADP'), (',', 94, '.'), ('brought', 55, 'VERB'), ('no', 135, 'DET'), ('-', 160, '.'), ('such', 138, 'ADJ'), ('measure', 173, 'NOUN'), ('forward', 63, 'ADV'), ('that', 121, 'ADP'), ('simplicity', 184, 'NOUN'), ('yet', 0, 'ADV'), ('have', 45, 'VERB'), ('simplicity', 34, 'NOUN'), ('of', 181, 'ADP'), (',', 3, '.'), ('of', 31, 'ADP'), ('generally', 102, 'ADV'), ('as', 71, 'ADP'), ('it', 96, 'PRON'), ('thing', 143, 'NOUN')}",34,"{('various', 14, 'ADJ'), ('been', 50, 'VERB'), ('potential', 74, 'ADJ'), ('accepted', 112, 'VERB'), ('there', 126, 'PRON'), ('measures', 22, 'NOUN'), ('is', 99, 'VERB'), ('is', 132, 'VERB'), ('theory', 154, 'NOUN'), ('candidates', 84, 'NOUN'), ('independent', 161, 'ADJ'), ('a', 152, 'DET'), ('as', 149, 'ADP'), (',', 94, '.'), ('although', 5, 'CONJ'), ('brought', 55, 'VERB'), ('no', 135, 'DET'), ('such', 138, 'ADJ'), ('-', 160, '.'), ('forward', 63, 'ADV'), ('measure', 173, 'NOUN'), ('simplicity', 184, 'NOUN'), ('yet', 0, 'ADV'), ('have', 45, 'VERB'), ('simplicity', 34, 'NOUN'), ('of', 181, 'ADP'), ('..', 194, '.'), ('that', 121, 'CONJ'), (',', 3, '.'), ('of', 31, 'ADP'), ('generally', 102, 'ADV'), ('as', 71, 'ADP'), ('it', 96, 'PRON'), ('thing', 143, 'NOUN')}",34,"{('generally', 102), ('accepted', 112), ('of', 31), ('there', 126), ('forward', 63), ('a', 152), ('potential', 74), ('been', 50), ('such', 138), ('have', 45), ('as', 71), ('candidates', 84), ('yet', 0), ('that', 121), ('thing', 143), ('various', 14), ('simplicity', 184), ('..', 194), ('although', 5), ('theory', 154), ('simplicity', 34), ('is', 99), ('-', 160), ('brought', 55), ('it', 96), ('independent', 161), (',', 3), ('measures', 22), ('as', 149), ('no', 135), ('is', 132), ('measure', 173), ('of', 181), (',', 94)}",34,set(),0,set(),0
The chicken may therefore use inductive reasoning to infer that the farmer will bring food every morning..,the chicken may therefore use inductive reasoning to infer that the farmer will bring food every morning..,"{('may', 12, 'VERB'), ('the', 64, 'DET'), ('infer', 53, 'VERB'), ('reasoning', 40, 'NOUN'), ('food', 86, 'NOUN'), ('to', 50, 'PRT'), ('morning', 97, 'NOUN'), ('..', 104, 'NOUN'), ('inductive', 30, 'ADJ'), ('bring', 80, 'VERB'), ('farmer', 68, 'NOUN'), ('will', 75, 'VERB'), ('chicken', 4, 'NOUN'), ('every', 91, 'DET'), ('use', 26, 'NOUN'), ('the', 0, 'DET'), ('therefore', 16, 'VERB'), ('that', 59, 'ADP')}",18,"{('may', 12, 'VERB'), ('use', 26, 'VERB'), ('infer', 53, 'VERB'), ('reasoning', 40, 'NOUN'), ('that', 59, 'CONJ'), ('the', 64, 'DET'), ('to', 50, 'PRT'), ('food', 86, 'NOUN'), ('morning', 97, 'NOUN'), ('inductive', 30, 'ADJ'), ('bring', 80, 'VERB'), ('farmer', 68, 'NOUN'), ('..', 104, '.'), ('will', 75, 'VERB'), ('chicken', 4, 'NOUN'), ('therefore', 16, 'ADV'), ('the', 0, 'DET'), ('every', 91, 'DET')}",18,"{('chicken', 4), ('will', 75), ('that', 59), ('farmer', 68), ('therefore', 16), ('food', 86), ('use', 26), ('reasoning', 40), ('morning', 97), ('bring', 80), ('the', 0), ('..', 104), ('the', 64), ('to', 50), ('may', 12), ('inductive', 30), ('every', 91), ('infer', 53)}",18,set(),0,set(),0
"One approach is to acknowledge that induction cannot achieve certainty, but observing more instances of a general statement can at least make the general statement more probable..","one approach is to acknowledge that induction cannot achieve certainty, but observing more instances of a general statement can at least make the general statement more probable..","{('one', 0, 'NUM'), ('of', 101, 'ADP'), ('make', 137, 'VERB'), ('achieve', 53, 'VERB'), ('a', 104, 'DET'), ('that', 31, 'DET'), ('more', 86, 'ADJ'), (',', 70, '.'), ('instances', 91, 'NOUN'), ('the', 142, 'DET'), ('general', 146, 'ADJ'), ('statement', 154, 'NOUN'), ('observing', 76, 'VERB'), ('certainty', 61, 'NOUN'), ('at', 128, 'ADP'), ('is', 13, 'VERB'), ('statement', 114, 'NOUN'), ('induction', 36, 'NOUN'), ('acknowledge', 19, 'VERB'), ('general', 106, 'ADJ'), ('cannot', 46, 'NOUN'), ('to', 16, 'PRT'), ('but', 72, 'CONJ'), ('approach', 4, 'NOUN'), ('can', 124, 'VERB'), ('..', 177, 'NOUN'), ('least', 131, 'ADJ'), ('more', 164, 'ADV'), ('probable', 169, 'ADJ')}",29,"{('one', 0, 'NUM'), ('of', 101, 'ADP'), ('make', 137, 'VERB'), ('achieve', 53, 'VERB'), ('a', 104, 'DET'), ('more', 86, 'ADJ'), (',', 70, '.'), ('instances', 91, 'NOUN'), ('the', 142, 'DET'), ('general', 146, 'ADJ'), ('statement', 154, 'NOUN'), ('observing', 76, 'VERB'), ('can', 46, 'VERB'), ('certainty', 61, 'NOUN'), ('at', 128, 'ADP'), ('is', 13, 'VERB'), ('statement', 114, 'NOUN'), ('induction', 36, 'NOUN'), ('acknowledge', 19, 'VERB'), ('not', 49, 'PRT'), ('..', 177, '.'), ('general', 106, 'ADJ'), ('that', 31, 'CONJ'), ('to', 16, 'PRT'), ('but', 72, 'CONJ'), ('approach', 4, 'NOUN'), ('can', 124, 'VERB'), ('least', 131, 'ADJ'), ('more', 164, 'ADV'), ('probable', 169, 'ADJ')}",30,"{('certainty', 61), ('to', 16), ('make', 137), ('least', 131), ('of', 101), ('more', 86), ('..', 177), ('achieve', 53), ('but', 72), ('induction', 36), ('probable', 169), ('instances', 91), ('approach', 4), ('statement', 154), ('at', 128), ('one', 0), ('general', 146), ('more', 164), ('acknowledge', 19), ('general', 106), ('observing', 76), ('statement', 114), ('can', 124), (',', 70), ('the', 142), ('is', 13), ('a', 104), ('that', 31)}",28,"{('cannot', 46)}",1,"{('can', 46), ('not', 49)}",2
Philosophers have tried to make this heuristic principle more precise in terms of theoretical parsimony or other measures..,philosophers have tried to make this heuristic principle more precise in terms of theoretical parsimony or other measures..,"{('make', 27, 'VERB'), ('in', 70, 'ADP'), ('have', 13, 'VERB'), ('this', 32, 'DET'), ('principle', 47, 'NOUN'), ('tried', 18, 'VERB'), ('philosophers', 0, 'NOUN'), ('other', 107, 'ADJ'), ('parsimony', 94, 'NOUN'), ('..', 121, 'VERB'), ('precise', 62, 'ADJ'), ('more', 57, 'ADV'), ('theoretical', 82, 'ADJ'), ('heuristic', 37, 'ADJ'), ('terms', 73, 'NOUN'), ('or', 104, 'CONJ'), ('measures', 113, 'NOUN'), ('of', 79, 'ADP'), ('to', 24, 'PRT')}",19,"{('make', 27, 'VERB'), ('in', 70, 'ADP'), ('have', 13, 'VERB'), ('this', 32, 'DET'), ('principle', 47, 'NOUN'), ('tried', 18, 'VERB'), ('philosophers', 0, 'NOUN'), ('other', 107, 'ADJ'), ('parsimony', 94, 'NOUN'), ('precise', 62, 'ADJ'), ('more', 57, 'ADV'), ('theoretical', 82, 'ADJ'), ('heuristic', 37, 'ADJ'), ('terms', 73, 'NOUN'), ('..', 121, '.'), ('or', 104, 'CONJ'), ('measures', 113, 'NOUN'), ('of', 79, 'ADP'), ('to', 24, 'PRT')}",19,"{('tried', 18), ('in', 70), ('make', 27), ('precise', 62), ('of', 79), ('parsimony', 94), ('to', 24), ('theoretical', 82), ('or', 104), ('principle', 47), ('terms', 73), ('..', 121), ('more', 57), ('heuristic', 37), ('this', 32), ('have', 13), ('other', 107), ('measures', 113), ('philosophers', 0)}",19,set(),0,set(),0
"There is no consensus among philosophers about many of the central problems concerned with the philosophy of science, including whether science can reveal the truth about unobservable things and whether scientific reasoning can be justified at all..","there is no consensus among philosophers about many of the central problems concerned with the philosophy of science, including whether science can reveal the truth about unobservable things and whether scientific reasoning can be justified at all..","{('at', 241, 'ADP'), ('scientific', 203, 'ADJ'), ('things', 184, 'NOUN'), ('among', 22, 'ADP'), ('reveal', 148, 'VERB'), ('about', 41, 'ADP'), ('with', 86, 'ADP'), ('and', 191, 'CONJ'), (',', 116, '.'), ('the', 155, 'DET'), ('concerned', 76, 'VERB'), ('including', 118, 'VERB'), ('the', 91, 'DET'), ('of', 52, 'ADP'), ('philosophers', 28, 'NOUN'), ('many', 47, 'ADJ'), ('can', 224, 'VERB'), ('whether', 128, 'ADP'), ('there', 0, 'DET'), ('is', 6, 'VERB'), ('truth', 159, 'NOUN'), ('problems', 67, 'NOUN'), ('consensus', 12, 'NOUN'), ('reasoning', 214, 'NOUN'), ('central', 59, 'ADJ'), ('science', 136, 'NOUN'), ('can', 144, 'VERB'), ('the', 55, 'DET'), ('justified', 231, 'VERB'), ('science', 109, 'NOUN'), ('of', 106, 'ADP'), ('no', 9, 'DET'), ('be', 228, 'VERB'), ('philosophy', 95, 'NOUN'), ('unobservable', 171, 'ADJ'), ('about', 165, 'ADP'), ('all', 244, 'DET'), ('whether', 195, 'ADP'), ('..', 247, 'NOUN')}",39,"{('scientific', 203, 'ADJ'), ('at', 241, 'ADV'), ('things', 184, 'NOUN'), ('all', 244, 'ADV'), ('among', 22, 'ADP'), ('reveal', 148, 'VERB'), ('about', 41, 'ADP'), ('with', 86, 'ADP'), ('and', 191, 'CONJ'), (',', 116, '.'), ('the', 155, 'DET'), ('concerned', 76, 'VERB'), ('including', 118, 'VERB'), ('the', 91, 'DET'), ('of', 52, 'ADP'), ('whether', 195, 'CONJ'), ('philosophers', 28, 'NOUN'), ('many', 47, 'ADJ'), ('can', 224, 'VERB'), ('there', 0, 'PRON'), ('is', 6, 'VERB'), ('truth', 159, 'NOUN'), ('problems', 67, 'NOUN'), ('consensus', 12, 'NOUN'), ('reasoning', 214, 'NOUN'), ('central', 59, 'ADJ'), ('science', 136, 'NOUN'), ('can', 144, 'VERB'), ('the', 55, 'DET'), ('justified', 231, 'VERB'), ('..', 247, '.'), ('whether', 128, 'CONJ'), ('science', 109, 'NOUN'), ('of', 106, 'ADP'), ('no', 9, 'DET'), ('be', 228, 'VERB'), ('philosophy', 95, 'NOUN'), ('unobservable', 171, 'ADJ'), ('about', 165, 'ADP')}",39,"{('science', 136), ('reveal', 148), ('can', 144), ('among', 22), ('no', 9), ('consensus', 12), ('is', 6), ('of', 52), ('central', 59), ('..', 247), ('philosophy', 95), ('scientific', 203), ('reasoning', 214), ('be', 228), ('whether', 128), ('unobservable', 171), ('about', 41), ('many', 47), ('whether', 195), ('the', 55), ('concerned', 76), ('all', 244), ('there', 0), ('of', 106), ('at', 241), ('with', 86), ('and', 191), ('the', 91), ('the', 155), ('justified', 231), ('problems', 67), ('about', 165), ('things', 184), (',', 116), ('truth', 159), ('philosophers', 28), ('including', 118), ('can', 224), ('science', 109)}",39,set(),0,set(),0
"So the chicken would be right to conclude from all those mornings that it is likely the farmer will come with food again the next morning, even if it cannot be certain..","so the chicken would be right to conclude from all those mornings that it is likely the farmer will come with food again the next morning, even if it cannot be certain..","{('right', 24, 'ADJ'), ('certain', 160, 'ADJ'), ('come', 100, 'VERB'), ('be', 157, 'VERB'), ('chicken', 7, 'NOUN'), ('even', 139, 'ADV'), ('will', 95, 'VERB'), ('to', 30, 'PRT'), ('the', 3, 'DET'), ('food', 110, 'NOUN'), ('..', 167, 'NOUN'), ('next', 125, 'ADJ'), ('it', 71, 'PRON'), ('so', 0, 'ADV'), ('conclude', 33, 'VERB'), ('if', 144, 'ADP'), ('all', 47, 'DET'), ('with', 105, 'ADP'), ('that', 66, 'ADP'), ('the', 84, 'DET'), ('likely', 77, 'ADJ'), ('would', 15, 'VERB'), ('from', 42, 'ADP'), ('is', 74, 'VERB'), (',', 137, '.'), ('the', 121, 'DET'), ('cannot', 150, 'VERB'), ('again', 115, 'ADV'), ('it', 147, 'PRON'), ('farmer', 88, 'NOUN'), ('morning', 130, 'NOUN'), ('be', 21, 'VERB'), ('mornings', 57, 'NOUN'), ('those', 51, 'DET')}",34,"{('right', 24, 'ADJ'), ('..', 167, '.'), ('certain', 160, 'ADJ'), ('come', 100, 'VERB'), ('be', 157, 'VERB'), ('chicken', 7, 'NOUN'), ('even', 139, 'ADV'), ('will', 95, 'VERB'), ('to', 30, 'PRT'), ('the', 3, 'DET'), ('food', 110, 'NOUN'), ('next', 125, 'ADJ'), ('it', 71, 'PRON'), ('so', 0, 'ADV'), ('conclude', 33, 'VERB'), ('all', 47, 'DET'), ('with', 105, 'ADP'), ('not', 153, 'PRT'), ('the', 84, 'DET'), ('likely', 77, 'ADJ'), ('would', 15, 'VERB'), ('from', 42, 'ADP'), ('is', 74, 'VERB'), (',', 137, '.'), ('the', 121, 'DET'), ('if', 144, 'CONJ'), ('again', 115, 'ADV'), ('that', 66, 'CONJ'), ('it', 147, 'PRON'), ('farmer', 88, 'NOUN'), ('morning', 130, 'NOUN'), ('be', 21, 'VERB'), ('mornings', 57, 'NOUN'), ('can', 150, 'VERB'), ('those', 51, 'DET')}",35,"{('it', 147), ('again', 115), ('conclude', 33), ('be', 21), ('mornings', 57), ('food', 110), ('farmer', 88), ('likely', 77), ('certain', 160), ('with', 105), ('from', 42), ('the', 3), ('come', 100), ('to', 30), ('that', 66), ('..', 167), ('chicken', 7), ('those', 51), ('be', 157), ('if', 144), ('so', 0), ('would', 15), ('will', 95), ('the', 121), ('morning', 130), ('next', 125), ('even', 139), ('the', 84), ('is', 74), ('right', 24), (',', 137), ('it', 71), ('all', 47)}",33,"{('cannot', 150)}",1,"{('not', 153), ('can', 150)}",2
"In addition to these general questions about science as a whole, philosophers of science consider problems that apply to particular sciences (such as biology or physics)..","in addition to these general questions about science as a whole, philosophers of science consider problems that apply to particular sciences (such as biology or physics)..","{('a', 56, 'DET'), ('sciences', 132, 'NOUN'), ('physics', 161, 'NOUN'), ('as', 53, 'ADP'), ('consider', 89, 'NOUN'), ('(', 141, '.'), ('general', 21, 'ADJ'), ('about', 39, 'ADV'), (')..', 168, 'VERB'), ('to', 118, 'PRT'), ('problems', 98, 'NOUN'), ('questions', 29, 'NOUN'), ('of', 78, 'ADP'), ('as', 147, 'ADP'), ('whole', 58, 'NOUN'), ('or', 158, 'CONJ'), (',', 63, '.'), ('addition', 3, 'NOUN'), ('to', 12, 'PRT'), ('philosophers', 65, 'NOUN'), ('that', 107, 'DET'), ('such', 142, 'ADJ'), ('science', 81, 'NOUN'), ('biology', 150, 'NOUN'), ('these', 15, 'DET'), ('science', 45, 'NOUN'), ('particular', 121, 'ADJ'), ('in', 0, 'ADP'), ('apply', 112, 'VERB')}",29,"{('a', 56, 'DET'), ('sciences', 132, 'NOUN'), ('physics', 161, 'NOUN'), ('to', 12, 'ADP'), ('as', 53, 'ADP'), ('about', 39, 'ADP'), ('(', 141, '.'), ('general', 21, 'ADJ'), ('..', 169, '.'), ('problems', 98, 'NOUN'), ('questions', 29, 'NOUN'), ('of', 78, 'ADP'), ('as', 147, 'ADP'), ('whole', 58, 'NOUN'), ('or', 158, 'CONJ'), (',', 63, '.'), ('addition', 3, 'NOUN'), ('consider', 89, 'VERB'), ('philosophers', 65, 'NOUN'), ('that', 107, 'PRON'), ('such', 142, 'ADJ'), ('science', 81, 'NOUN'), ('biology', 150, 'NOUN'), (')', 168, '.'), ('these', 15, 'DET'), ('science', 45, 'NOUN'), ('to', 118, 'ADP'), ('in', 0, 'ADP'), ('particular', 121, 'ADJ'), ('apply', 112, 'VERB')}",30,"{('such', 142), ('science', 81), ('that', 107), ('in', 0), ('consider', 89), (',', 63), ('these', 15), ('as', 53), ('questions', 29), ('whole', 58), ('to', 12), ('as', 147), ('apply', 112), ('general', 21), ('problems', 98), ('to', 118), ('philosophers', 65), ('a', 56), ('of', 78), ('sciences', 132), ('particular', 121), ('biology', 150), ('or', 158), ('science', 45), ('physics', 161), ('(', 141), ('addition', 3), ('about', 39)}",28,"{(')..', 168)}",1,"{(')', 168), ('..', 169)}",2
